time,robot_x,robot_y,robot_yaw,goal_x,goal_y,dist_error,linear_v,angular_w
1765795417.274533749,0.000000000,-0.000000000,0.002469852,1.000000000,1.000000000,0.800000000,0.000000000,0,1.414213562,1.000000000,2.071709063
1765795417.324714899,0.000000000,-0.000000000,0.002453270,1.000000000,1.000000000,0.800000000,0.000000000,0,1.414213562,1.000000000,2.071732266
1765795417.374829531,0.001675725,0.000005446,0.006108034,1.000000000,1.000000000,0.795323636,0.001675733,0,1.413025289,1.000000000,2.081174226
1765795417.424690485,0.005719781,0.000049319,0.020187089,1.000000000,1.000000000,0.784165851,0.005719994,0,1.410139893,1.000000000,2.096432204
1765795417.474491119,0.005719781,0.000049319,0.020187089,1.000000000,1.000000000,0.784165851,0.005719994,0,1.410139893,1.000000000,2.096432204
1765795417.524887562,0.012240670,0.000250322,0.048189515,1.000000000,1.000000000,0.766544843,0.012243229,0,1.405406672,1.000000000,2.117984829
1765795417.574762821,0.021243263,0.000823941,0.088390563,1.000000000,1.000000000,0.742934846,0.021259236,0,1.398684220,1.000000000,2.135909361
1765795417.624437571,0.032696439,0.002065934,0.138432854,1.000000000,1.000000000,0.714023846,0.032761643,0,1.389801633,1.000000000,2.163885645
1765795417.674474478,0.046531545,0.004335663,0.198691090,1.000000000,1.000000000,0.699588151,0.038709332,1,1.378567941,1.000000000,2.123750429
1765795417.724500895,0.062607587,0.008152188,0.274727854,1.000000000,1.000000000,0.675879615,0.048795424,1,1.364722176,0.300000000,0.623158106
1765795417.774482250,0.080707635,0.014001801,0.362304474,1.000000000,1.000000000,0.644120281,0.062977502,1,1.348069324,0.300000000,0.611795204
1765795417.824953318,0.097421645,0.021130755,0.452313406,1.000000000,1.000000000,0.624930418,0.071953655,2,1.331477633,0.300000000,0.576578499
1765795417.874447823,0.111488522,0.028617318,0.532226730,1.000000000,1.000000000,0.609207738,0.079556068,2,1.316448617,0.300000000,0.538637620
1765795417.924500227,0.111488522,0.028617318,0.532226730,1.000000000,1.000000000,0.609207738,0.079556068,2,1.316448617,0.300000000,0.538637620
1765795417.974685192,0.124251747,0.036804072,0.603874872,1.000000000,1.000000000,0.592459503,0.087917026,2,1.301799293,0.300000000,0.502879103
1765795418.024499416,0.136402626,0.045644974,0.660805054,1.000000000,1.000000000,0.585109701,0.091676320,3,1.287087386,0.300000000,0.468504877
1765795418.074419498,0.148091443,0.055049443,0.704898686,1.000000000,1.000000000,0.575433083,0.096713548,3,1.272273455,0.300000000,0.445624274
1765795418.124506712,0.159411357,0.064887901,0.737613006,1.000000000,1.000000000,0.565345365,0.102075121,4,1.257387730,0.300000000,0.432476062
1765795418.174433947,0.170404918,0.075094678,0.764880877,1.000000000,1.000000000,0.560605055,0.104634843,4,1.242448331,0.300000000,0.419750904
1765795418.224513531,0.181136452,0.085573882,0.789918072,1.000000000,1.000000000,0.552886128,0.108859904,4,1.227482234,0.300000000,0.396433731
1765795418.274959564,0.191573664,0.096351902,0.814800145,1.000000000,1.000000000,0.547616674,0.111785777,5,1.212490423,0.300000000,0.384345810
1765795418.324618101,0.201792235,0.107329783,0.837144700,1.000000000,1.000000000,0.543595233,0.114041956,5,1.197495617,0.300000000,0.373680152
1765795418.374531031,0.211729266,0.118569319,0.859314668,1.000000000,1.000000000,0.536957572,0.117811058,5,1.182493465,0.300000000,0.364553877
1765795418.425049067,0.211729266,0.118569319,0.859314668,1.000000000,1.000000000,0.536957572,0.117811058,5,1.182493465,0.300000000,0.364553877
1765795418.474806786,0.221424395,0.130017191,0.880632615,1.000000000,1.000000000,0.535624030,0.118575195,6,1.167497349,0.300000000,0.334560136
1765795418.524819374,0.230880137,0.141662656,0.901652315,1.000000000,1.000000000,0.532150545,0.120576581,6,1.152513930,0.300000000,0.322710046
1765795418.574456692,0.240099125,0.153495587,0.921627045,1.000000000,1.000000000,0.528989946,0.122411713,7,1.137549586,0.300000000,0.311483171
1765795418.624630690,0.249060234,0.165528822,0.940824151,1.000000000,1.000000000,0.528456958,0.122722512,7,1.122609763,0.300000000,0.279606796
1765795418.674793243,0.249060234,0.165528822,0.940824151,1.000000000,1.000000000,0.528456958,0.122722512,7,1.122609763,0.300000000,0.279606796
1765795418.724609852,0.257802816,0.177720822,0.958337594,1.000000000,1.000000000,0.525279405,0.124583490,7,1.107700188,0.300000000,0.269325825
1765795418.774783373,0.266341295,0.190055893,0.974757268,1.000000000,1.000000000,0.525856632,0.124244397,8,1.092824117,0.300000000,0.238142747
1765795418.824765921,0.274684104,0.202523123,0.990871739,1.000000000,1.000000000,0.525235872,0.124609082,8,1.077985398,0.300000000,0.226755357
1765795418.874606371,0.282807972,0.215136601,1.006761464,1.000000000,1.000000000,0.524253237,0.125187450,9,1.063190933,0.300000000,0.195279338
1765795418.924620628,0.290754391,0.227860837,1.020788607,1.000000000,1.000000000,0.526097864,0.124102822,9,1.048440853,0.300000000,0.184014267
1765795418.974888802,0.298537590,0.240684350,1.033326344,1.000000000,1.000000000,0.525192414,0.124634632,9,1.033735831,0.300000000,0.155006003
1765795419.024656057,0.306173658,0.253595441,1.044266958,1.000000000,1.000000000,0.527618981,0.123211942,10,1.019075442,0.300000000,0.146139045
1765795419.074461699,0.313656867,0.266598081,1.053695079,1.000000000,1.000000000,0.528939029,0.122441387,10,1.004462678,0.300000000,0.119051992
1765795419.124421835,0.313656867,0.266598081,1.053695079,1.000000000,1.000000000,0.528939029,0.122441387,10,1.004462678,0.300000000,0.119051992
